date,newUsers,averageSessionDuration,bounceRate,slo_click_call,slo_click_mail,slo_fill_any_form,slo_click_facebook,slo_click_inst,slo_click_wa,slo_click_viber
2024-06-17,16,80.1837621875,0.4375,,,,,,,
2024-06-18,16,161.39893266666667,0.42857142857142855,,,,,,,
2024-06-19,9,37.41708466666667,0.5833333333333334,,,,,,,
2024-06-20,14,44.2168145625,0.5,,,,,,,
2024-06-21,9,15.848838444444445,0.6666666666666666,,,,,,,
2024-06-22,19,99.87304470000001,0.6,,,,,,,
2024-06-23,14,118.347018,0.4117647058823529,,,,,,,
2024-06-24,21,44.62830470833333,0.4583333333333333,,,,,,,
2024-06-25,13,125.85586692857143,0.5,,,,,,,
2024-06-26,8,420.21011385714286,0.5,,,,,,,
2024-06-27,17,145.34275127272727,0.45454545454545453,,,,,,,
2024-06-28,14,235.12069058823528,0.4117647058823529,,,,,,,
2024-06-29,11,277.8569855384616,0.5384615384615384,,,,,,,
2024-06-30,8,70.605164875,0.625,,,,,,,
2024-07-01,6,71.22937754545454,0.45454545454545453,,,,,,,
2024-07-02,9,64.434386,0.6,,,,,,,
2024-07-03,17,51.02646985714286,0.7142857142857143,,,,,,,
2024-07-04,4,83.71966966666666,0.6666666666666666,,,,,,,
2024-07-05,7,36.241240875,0.625,,,,,,,
2024-07-06,9,67.9791482,0.3,,,,,,,
2024-07-07,10,84.63070436363637,0.45454545454545453,,,,,,,
2024-07-08,13,74.65988677777779,0.4444444444444444,,,,,,,
2024-07-09,7,58.394206714285716,0.42857142857142855,,,,,,,
2024-07-10,5,170.12538383333333,0.6666666666666666,,,,,,,
2024-07-11,9,14.469452538461537,0.5384615384615384,,,,,,,
2024-07-12,3,141.8057296,0.6,,,,,,,
2024-07-13,5,75.12688250000001,0.6666666666666666,,,,,,,
2024-07-14,7,226.0318637142857,0.42857142857142855,,,,,,,
2024-07-15,12,145.79535275,0.4166666666666667,,,,,,,
2024-07-16,13,50.0270601875,0.6875,,,,,,,
2024-07-17,9,187.2812756666667,0.4166666666666667,,,,,,,
2024-07-18,5,237.8186738,0.5,1.0,1.0,4.0,3.0,3.0,8.0,
2024-07-19,4,8.12662775,0.5,,,,,,,
2024-07-20,5,402.6551656666666,0.6666666666666666,,,,,,,
2024-07-21,2,13.283253,0.5,,,,,,,
2024-07-22,4,7.2586562,0.6,,,,,,,
2024-07-23,2,2357.3209866666666,0.0,,,,1.0,1.0,1.0,
2024-07-24,5,568.3391359999999,0.6,,,6.0,,,,
2024-07-25,4,163.626268375,0.375,,,,,,,
2024-07-26,3,0.0,1.0,,,,,,,
2024-07-27,5,2.3082135999999998,0.8,,,,,,,
2024-07-28,3,23.163259666666665,0.3333333333333333,,,,,,,
2024-07-29,1,8.9721055,0.5,,,,,,,
2024-07-30,5,2.458566125,0.875,,,,,,,
2024-07-31,3,10.311702666666667,0.6666666666666666,,,,,,,
2024-08-01,4,255.72813575,0.5,,,,,,,
2024-08-02,8,814.8347992307692,0.46153846153846156,,,,,,,
2024-08-03,2,10.65487225,0.75,,,,,,,
2024-08-04,0,0.0,1.0,,,,,,,
2024-08-05,1,8.961878,1.0,,,,,,,
2024-08-06,3,31.378491500000003,0.75,,,,,,,
2024-08-07,2,0.0,1.0,,,,,,,
2024-08-08,7,9.750659333333335,0.6666666666666666,,,,,,,
2024-08-09,6,245.28987483333333,0.3333333333333333,,,,,,,
2024-08-10,1,7.256096,0.5,,,,,1.0,,
2024-08-11,3,5.452756999999999,0.6666666666666666,,,,,,,
2024-08-12,10,260.154039625,0.5,,,,,1.0,1.0,
2024-08-13,18,403.15462460714286,0.25,,,2.0,,,,
2024-08-14,12,298.22530859090915,0.3181818181818182,,1.0,,,1.0,,
2024-08-15,15,221.72248496875,0.4375,,,,1.0,1.0,2.0,1.0
2024-08-16,8,150.24433927272727,0.5454545454545454,,,,,,,
2024-08-17,9,60.77651211111111,0.5555555555555556,,,,,,,
2024-08-18,8,99.66495755555555,0.2222222222222222,,,,,,,
2024-08-19,23,193.81796435714287,0.5,,,,,,,
2024-08-20,35,73.18361271794872,0.358974358974359,1.0,1.0,,,,,
2024-08-21,17,115.16832099999999,0.38095238095238093,1.0,,,,,,
2024-08-22,19,179.22451335714285,0.42857142857142855,,,,,,,
2024-08-23,12,115.10923977777777,0.3333333333333333,,,,,,,
2024-08-24,17,83.32256432,0.4,,,,,,,
2024-08-25,8,326.02454275,0.8333333333333334,,,,,,,
Last updated,,2024-08-26 02:49:27,,,,,,,,
